1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: F100000050FEBB21
Is Mission Active?  true
Mission Start:  Mon Jul 27 23:46:00 PDT 2020
Sample Rate:  Every 255 minute(s)
Number of Mission Samples:  2049
Total Samples:  2727
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
7/27/20 11:46:00 PM,C,27
7/28/20 4:01:00 AM,C,24
7/28/20 8:16:00 AM,C,22.5
7/28/20 12:31:00 PM,C,26.5
7/28/20 4:46:00 PM,C,28.5
7/28/20 9:01:00 PM,C,19.5
7/29/20 1:16:00 AM,C,15.5
7/29/20 5:31:00 AM,C,13.5
7/29/20 9:46:00 AM,C,20
7/29/20 2:01:00 PM,C,32
7/29/20 6:16:00 PM,C,17
7/29/20 10:31:00 PM,C,14.5
7/30/20 2:46:00 AM,C,14
7/30/20 7:01:00 AM,C,14.5
7/30/20 11:16:00 AM,C,28.5
7/30/20 3:31:00 PM,C,23.5
7/30/20 7:46:00 PM,C,18.5
7/31/20 12:01:00 AM,C,18
7/31/20 4:16:00 AM,C,17.5
7/31/20 8:31:00 AM,C,20.5
7/31/20 12:46:00 PM,C,34
7/31/20 5:01:00 PM,C,20.5
7/31/20 9:16:00 PM,C,16
8/1/20 1:31:00 AM,C,14
8/1/20 5:46:00 AM,C,12
8/1/20 10:01:00 AM,C,24
8/1/20 2:16:00 PM,C,24.5
8/1/20 6:31:00 PM,C,18
8/1/20 10:46:00 PM,C,14
8/2/20 3:01:00 AM,C,12
8/2/20 7:16:00 AM,C,12
8/2/20 11:31:00 AM,C,22.5
8/2/20 3:46:00 PM,C,20.5
8/2/20 8:01:00 PM,C,16
8/3/20 12:16:00 AM,C,13.5
8/3/20 4:31:00 AM,C,12
8/3/20 8:46:00 AM,C,13.5
8/3/20 1:01:00 PM,C,16.5
8/3/20 5:16:00 PM,C,16.5
8/3/20 9:31:00 PM,C,13
8/4/20 1:46:00 AM,C,11
8/4/20 6:01:00 AM,C,10.5
8/4/20 10:16:00 AM,C,22
8/4/20 2:31:00 PM,C,25
8/4/20 6:46:00 PM,C,16.5
8/4/20 11:01:00 PM,C,13.5
8/5/20 3:16:00 AM,C,12.5
8/5/20 7:31:00 AM,C,13
8/5/20 11:46:00 AM,C,25
8/5/20 4:01:00 PM,C,22.5
8/5/20 8:16:00 PM,C,15.5
8/6/20 12:31:00 AM,C,13.5
8/6/20 4:46:00 AM,C,12
8/6/20 9:01:00 AM,C,11.5
8/6/20 1:16:00 PM,C,13.5
8/6/20 5:31:00 PM,C,11
8/6/20 9:46:00 PM,C,8.5
8/7/20 2:01:00 AM,C,8
8/7/20 6:16:00 AM,C,8
8/7/20 10:31:00 AM,C,11
8/7/20 2:46:00 PM,C,13
8/7/20 7:01:00 PM,C,11.5
8/7/20 11:16:00 PM,C,9.5
8/8/20 3:31:00 AM,C,9.5
8/8/20 7:46:00 AM,C,9.5
8/8/20 12:01:00 PM,C,12.5
8/8/20 4:16:00 PM,C,12.5
8/8/20 8:31:00 PM,C,10.5
8/9/20 12:46:00 AM,C,8.5
8/9/20 5:01:00 AM,C,7.5
8/9/20 9:16:00 AM,C,12.5
8/9/20 1:31:00 PM,C,16.5
8/9/20 5:46:00 PM,C,14
8/9/20 10:01:00 PM,C,11.5
8/10/20 2:16:00 AM,C,10
8/10/20 6:31:00 AM,C,10
8/10/20 10:46:00 AM,C,14
8/10/20 3:01:00 PM,C,17.5
8/10/20 7:16:00 PM,C,14
8/10/20 11:31:00 PM,C,10.5
8/11/20 3:46:00 AM,C,9
8/11/20 8:01:00 AM,C,10
8/11/20 12:16:00 PM,C,20.5
8/11/20 4:31:00 PM,C,16
8/11/20 8:46:00 PM,C,11
8/12/20 1:01:00 AM,C,8.5
8/12/20 5:16:00 AM,C,7.5
8/12/20 9:31:00 AM,C,10.5
8/12/20 1:46:00 PM,C,10.5
8/12/20 6:01:00 PM,C,11
8/12/20 10:16:00 PM,C,8.5
8/13/20 2:31:00 AM,C,7.5
8/13/20 6:46:00 AM,C,6.5
8/13/20 11:01:00 AM,C,12
8/13/20 3:16:00 PM,C,14
8/13/20 7:31:00 PM,C,11
8/13/20 11:46:00 PM,C,9
8/14/20 4:01:00 AM,C,7.5
8/14/20 8:16:00 AM,C,10
8/14/20 12:31:00 PM,C,21
8/14/20 4:46:00 PM,C,15.5
8/14/20 9:01:00 PM,C,12.5
8/15/20 1:16:00 AM,C,11
8/15/20 5:31:00 AM,C,10.5
8/15/20 9:46:00 AM,C,17
